Start date,Start time,End date,End time,Start location,Start coordinates,End location,End coordinates,Duration (HH:MM),Distance(km),Efficiency(L/100km),Average speed(km/h),PHEV Fuel efficiency(L/100km),EV Distance(km)
"05/02/2023","14:04","05/02/2023","14:13","Pebble Ave 21,3975 Melbourne,Australia","-38.077307222222224,145.25532027777777","Hall Rd 570,3977 Melbourne,Australia","-38.1088125,145.2337425","00:09","5.1","5.8","39.0","5.8","3.4"
"04/02/2023","21:21","04/02/2023","21:37","Westbourne St 49S,3978 Melbourne,Australia","-38.118183888888886,145.3346725","Pebble Ave 19,3975 Melbourne,Australia","-38.0771825,145.25540972222223","00:16","10.7","2.6","43.0","2.6","8.7"
"04/02/2023","20:20","04/02/2023","20:25","Westbourne St 49S,3978 Melbourne,Australia","-38.1181625,145.3346725","Westbourne St 49S,3978 Melbourne,Australia","-38.118164722222225,145.33468194444444","00:05","1.9","5.2","29.0","5.2","1.2"
"04/02/2023","17:16","04/02/2023","17:32","Thompsons Rd 1260,3977 Melbourne,Australia","-38.082053055555555,145.27767527777777","Westbourne St 32,3978 Melbourne,Australia","-38.11817,145.33471555555556","00:16","8.7","2.0","35.0","2.0","7.4"
"04/02/2023","17:02","04/02/2023","17:15","Thompsons Rd 1000,3977 Melbourne,Australia","-38.07830861111111,145.25010916666668","Thompsons Rd 1260,3977 Melbourne,Australia","-38.082053333333334,145.277675","00:13","3.2","9.5","17.0","9.5","1.3"
"03/02/2023","18:17","03/02/2023","18:27","South Gippsland Hwy 350-398,3977 Melbourne,Australia","-38.08659138888889,145.27944416666668","Brookwater Pde 19,3975 Melbourne,Australia","-38.07772861111111,145.24910083333333","00:10","3.2","0.0","21.0","0.0","3.2"
"03/02/2023","18:06","03/02/2023","18:14","Pebble Ave 19,3975 Melbourne,Australia","-38.07717666666667,145.2554025","South Gippsland Hwy 350-398,3977 Melbourne,Australia","-38.08658,145.27948333333333","00:08","3.2","3.7","25.0","3.7","2.6"
"03/02/2023","12:34","03/02/2023","12:49","Riverend Rd 65,3175 Melbourne,Australia","-38.050312777777776,145.14908861111113","Pebble Ave 21,3975 Melbourne,Australia","-38.077219722222225,145.25537333333332","00:15","13.6","7.6","60.0","7.6","2.4"
"03/02/2023","12:04","03/02/2023","12:31","Chapman Ave 1R,3198 Melbourne,Australia","-38.10406361111111,145.12683222222222","Riverend Rd 65,3175 Melbourne,Australia","-38.0502825,145.14909083333333","00:27","11.1","7.0","28.0","7.0","4.0"
"03/02/2023","11:00","03/02/2023","11:20","Pebble Ave 19,3975 Melbourne,Australia","-38.07718388888889,145.25540555555557","Chapman Ave 1R,3198 Melbourne,Australia","-38.104040833333336,145.12683027777777","00:20","16.3","4.0","53.0","4.0","9.8"
"03/02/2023","08:22","03/02/2023","08:38","Riverend Rd 65,3175 Melbourne,Australia","-38.050310833333334,145.14882472222223","Pebble Ave 21,3975 Melbourne,Australia","-38.077215833333334,145.25534916666666","00:16","13.7","4.3","53.0","4.3","8.5"
"03/02/2023","07:57","03/02/2023","08:19","Pebble Ave 21,3975 Melbourne,Australia","-38.07721,145.2554725","Riverend Rd 65,3175 Melbourne,Australia","-38.05027166666667,145.14882416666666","00:22","14.4","2.0","43.0","2.0","11.6"
"03/02/2023","07:38","03/02/2023","07:45","Thompsons Rd 1250,3977 Melbourne,Australia","-38.083619722222224,145.27840055555555","Pebble Ave 21,3975 Melbourne,Australia","-38.07721472222222,145.25541694444445","00:07","2.8","2.0","25.0","2.0","2.2"
"03/02/2023","07:24","03/02/2023","07:31","Pebble Ave 19,3975 Melbourne,Australia","-38.07709305555556,145.25525055555556","Thompsons Rd 1250,3977 Melbourne,Australia","-38.08370138888889,145.27833055555556","00:07","2.9","5.2","27.0","5.2","1.8"
"02/02/2023","15:29","02/02/2023","15:49","Riverend Rd 65,3175 Melbourne,Australia","-38.05027555555556,145.14880444444444","Pebble Ave 21,3975 Melbourne,Australia","-38.07720972222222,145.25536583333334","00:20","13.8","2.9","42.0","2.9","10.2"
"02/02/2023","14:38","02/02/2023","15:00","Pebble Ave 21,3975 Melbourne,Australia","-38.077214166666664,145.2553988888889","Riverend Rd 65,3175 Melbourne,Australia","-38.05028444444444,145.1488013888889","00:22","14.4","3.7","42.0","3.7","10.2"
"02/02/2023","12:33","02/02/2023","12:42","Pebble Ave 21,3975 Melbourne,Australia","-38.07720333333334,145.25549","Pebble Ave 21,3975 Melbourne,Australia","-38.07722944444444,145.25538472222223","00:09","3.3","4.7","26.0","4.7","2.5"
"02/02/2023","10:54","02/02/2023","11:03","Pebble Ave 19,3975 Melbourne,Australia","-38.07718694444444,145.25537694444444","Pebble Ave 21,3975 Melbourne,Australia","-38.07720833333333,145.25543694444445","00:09","3.9","1.4","29.0","1.4","3.7"
"02/02/2023","08:16","02/02/2023","08:33","Riverend Rd 65,3175 Melbourne,Australia","-38.050275,145.14896777777778","Pebble Ave 21,3975 Melbourne,Australia","-38.07720972222222,145.25536222222223","00:17","13.7","3.0","54.0","3.0","10.1"
"02/02/2023","07:54","02/02/2023","08:14","Pebble Ave 19,3975 Melbourne,Australia","-38.07717805555556,145.25534583333334","Riverend Rd 65,3175 Melbourne,Australia","-38.05027833333333,145.14896972222223","00:20","16.4","4.1","51.0","4.1","9.0"
"01/02/2023","20:12","01/02/2023","20:50","Pebble Ave 19,3975 Melbourne,Australia","-38.07714166666667,145.2552963888889","Pebble Ave 21,3975 Melbourne,Australia","-38.07720111111111,145.25535222222223","00:38","41.0","4.0","67.0","4.0","24.7"
"28/01/2023","10:19","28/01/2023","10:29","A780 1075,3910 Melbourne,Australia","-38.13030583333333,145.22840805555555","Pebble Ave 21,3975 Melbourne,Australia","-38.0771975,145.2553425","00:10","7.7","0.0","27.0","0.0","6.8"
"28/01/2023","09:56","28/01/2023","10:08","Pebble Ave 19,3975 Melbourne,Australia","-38.07719194444444,145.2553922222222","A780 1075,3910 Melbourne,Australia","-38.13030444444444,145.22842083333333","00:12","8.3","3.1","44.0","3.1","6.3"
"27/01/2023","19:21","27/01/2023","19:27","Society Ave 2,3975 Melbourne,Australia","-38.077305,145.25035472222223","Pebble Ave 21,3975 Melbourne,Australia","-38.0772025,145.25539055555555","00:06","2.4","0.0","30.0","0.0","2.4"
"27/01/2023","19:15","27/01/2023","19:19","Pebble Ave 21,3975 Melbourne,Australia","-38.07723083333333,145.25536277777778","Society Ave 2,3975 Melbourne,Australia","-38.0773025,145.25034277777777","00:04","1.0","0.0","17.0","0.0","1.0"
"26/01/2023","21:24","26/01/2023","21:41","Niblick Cirt 21,3977 Melbourne,Australia","-38.083058055555554,145.21698055555555","Pebble Ave 21,3975 Melbourne,Australia","-38.07719083333333,145.25535472222222","00:17","12.3","8.2","46.0","8.2","3.4"
"26/01/2023","16:39","26/01/2023","16:51","Pebble Ave 21,3975 Melbourne,Australia","-38.07719111111111,145.25535277777777","Niblick Cirt 21,3977 Melbourne,Australia","-38.083057777777775,145.2168925","00:12","7.3","6.2","39.0","6.2","2.8"
"26/01/2023","14:20","26/01/2023","15:25","Glen Eadie Ave 38,3777 Badger Creek,Australia","-37.681847222222224,145.52852694444445","Pebble Ave 21,3975 Melbourne,Australia","-38.07720472222222,145.25534805555554","01:05","70.0","8.4","67.0","8.4","10.2"
"26/01/2023","10:00","26/01/2023","11:20","Chapman Ave 1R,3198 Melbourne,Australia","-38.10406833333333,145.126945","Glen Eadie Ave 38,3777 Badger Creek,Australia","-37.68184083333333,145.5284761111111","01:20","83.4","6.3","65.0","6.3","31.9"
"26/01/2023","09:19","26/01/2023","09:35","Pebble Ave 19,3975 Melbourne,Australia","-38.07718361111111,145.25543888888888","Chapman Ave 1R,3198 Melbourne,Australia","-38.104104722222225,145.12706222222224","00:16","16.3","2.5","63.0","2.5","12.7"
"22/01/2023","14:18","22/01/2023","14:27","High St 221,3977 Melbourne,Australia","-38.099559444444445,145.28264083333335","Pebble Ave 19,3975 Melbourne,Australia","-38.07719083333333,145.25539194444445","00:09","4.5","2.7","33.0","2.7","3.2"
"22/01/2023","14:14","22/01/2023","14:17","High St 151,3977 Melbourne,Australia","-38.10802861111111,145.28258916666667","High St 221,3977 Melbourne,Australia","-38.09956833333333,145.2826425","00:03","1.1","4.3","27.0","4.3","0.8"
"22/01/2023","13:30","22/01/2023","13:47","Pebble Ave 21,3975 Melbourne,Australia","-38.07723638888889,145.25524555555555","High St 151,3977 Melbourne,Australia","-38.108001944444446,145.28257472222222","00:17","5.7","7.2","24.0","7.2","1.7"
"21/01/2023","20:37","21/01/2023","21:06","Nepean Hwy 583,3199 Melbourne,Australia","-38.15398361111111,145.10864055555555","Pebble Ave 21,3975 Melbourne,Australia","-38.07719111111111,145.2553388888889","00:29","21.7","1.2","48.0","1.2","19.3"
"21/01/2023","19:32","21/01/2023","20:10","Pebble Ave 21,3975 Melbourne,Australia","-38.07721472222222,145.2553536111111","Nepean Hwy 583,3199 Melbourne,Australia","-38.153974444444444,145.10863694444444","00:38","23.7","2.7","41.0","2.7","19.0"
"21/01/2023","09:01","21/01/2023","09:23","Chapman Ave 1R,3198 Melbourne,Australia","-38.10409138888889,145.12691416666667","Pebble Ave 21,3975 Melbourne,Australia","-38.077185,145.2553438888889","00:22","14.8","2.6","43.0","2.6","11.6"
"21/01/2023","08:25","21/01/2023","08:46","Pebble Ave 19,3975 Melbourne,Australia","-38.07712,145.25539916666668","Chapman Ave 1R,3198 Melbourne,Australia","-38.10409027777778,145.1269286111111","00:21","16.5","2.3","51.0","2.3","13.1"
"20/01/2023","16:19","20/01/2023","16:38","Riverend Rd 65,3175 Melbourne,Australia","-38.05025444444444,145.14907722222222","Pebble Ave 19,3975 Melbourne,Australia","-38.07718,145.25535638888888","00:19","13.7","1.5","48.0","1.5","11.7"
"20/01/2023","15:54","20/01/2023","16:15","Pebble Ave 21,3975 Melbourne,Australia","-38.07720638888889,145.25539333333333","Riverend Rd 65,3175 Melbourne,Australia","-38.05025833333333,145.14906638888888","00:21","16.4","3.5","49.0","3.5","9.5"
"19/01/2023","18:22","19/01/2023","18:30","Brookwater Pde 19,3975 Melbourne,Australia","-38.07767138888889,145.24919083333333","Pebble Ave 21,3975 Melbourne,Australia","-38.07720722222222,145.2553986111111","00:08","3.5","0.0","27.0","0.0","3.5"
"18/01/2023","15:28","18/01/2023","15:45","Riverend Rd 65,3175 Melbourne,Australia","-38.050289722222224,145.1490875","Pebble Ave 21,3975 Melbourne,Australia","-38.077215833333334,145.2553577777778","00:17","13.7","1.6","52.0","1.6","11.8"
"18/01/2023","15:05","18/01/2023","15:24","Pebble Ave 21,3975 Melbourne,Australia","-38.077222222222225,145.25544555555555","Riverend Rd 65,3175 Melbourne,Australia","-38.050287222222224,145.14909083333333","00:19","14.4","3.7","48.0","3.7","8.6"
"18/01/2023","08:25","18/01/2023","08:40","Riverend Rd 65,3175 Melbourne,Australia","-38.0503325,145.1490922222222","Pebble Ave 21,3975 Melbourne,Australia","-38.07718527777778,145.25536222222223","00:15","13.7","2.9","56.0","2.9","9.9"
"18/01/2023","07:56","18/01/2023","08:22","Pebble Ave 19,3975 Melbourne,Australia","-38.07718,145.25544888888888","Riverend Rd 65,3175 Melbourne,Australia","-38.050265,145.1490775","00:26","16.5","1.8","36.0","1.8","13.8"
"17/01/2023","19:06","17/01/2023","19:17","Boundary Rd 2,3201 Melbourne,Australia","-38.085924722222224,145.18140527777777","Pebble Ave 19,3975 Melbourne,Australia","-38.077175277777776,145.25534694444445","00:11","8.5","3.0","48.0","3.0","6.6"
"17/01/2023","18:30","17/01/2023","18:40","Pebble Ave 19,3975 Melbourne,Australia","-38.07716694444444,145.2554152777778","Boundary Rd 2,3201 Melbourne,Australia","-38.085900555555554,145.1814075","00:10","7.6","3.9","51.0","3.9","4.6"
"17/01/2023","15:13","17/01/2023","15:33","Riverend Rd 65,3175 Melbourne,Australia","-38.05026083333333,145.14910194444445","Pebble Ave 21,3975 Melbourne,Australia","-38.07721333333333,145.25535333333335","00:20","13.7","1.7","44.0","1.7","11.6"
"17/01/2023","14:51","17/01/2023","15:08","Pebble Ave 22,3975 Melbourne,Australia","-38.077325,145.25555583333335","Riverend Rd 65,3175 Melbourne,Australia","-38.05026,145.14909055555555","00:17","14.4","2.8","55.0","2.8","9.7"
"17/01/2023","08:09","17/01/2023","08:25","Riverend Rd 65,3175 Melbourne,Australia","-38.050269444444446,145.149065","Pebble Ave 21,3975 Melbourne,Australia","-38.077205,145.2553675","00:16","13.6","3.8","53.0","3.8","8.8"
"17/01/2023","07:44","17/01/2023","08:06","Pebble Ave 19,3975 Melbourne,Australia","-38.07716944444444,145.25540694444445","Riverend Rd 65,3175 Melbourne,Australia","-38.05026111111111,145.14906805555555","00:22","16.5","1.8","49.0","1.8","13.6"
"15/01/2023","16:16","15/01/2023","16:26","Sladen St 153,3977 Melbourne,Australia","-38.11238,145.28197","Pebble Ave 21,3975 Melbourne,Australia","-38.077198333333335,145.25534555555555","00:10","6.1","8.6","41.0","8.6","1.6"
"15/01/2023","15:32","15/01/2023","16:16","Pier Rd 27,3984 Grantville,Australia","-38.40647638888889,145.5277313888889","Sladen St 153,3977 Melbourne,Australia","-38.11238,145.28197","00:44","50.7","8.8","74.0","8.8","1.7"
"15/01/2023","15:09","15/01/2023","15:16","Queensferry Jetty Rd 146,3984 Queensferry,Australia","-38.41698972222222,145.50102555555554","Pier Rd 27,3984 Grantville,Australia","-38.406484444444445,145.52772416666667","00:07","5.1","10.2","50.0","10.2","0.9"
"15/01/2023","14:30","15/01/2023","15:08","South Gippsland Hwy 4440,3984 Caldermeade,Australia","-38.240815,145.53066388888888","Queensferry Jetty Rd 146,3984 Queensferry,Australia","-38.41698944444445,145.50102361111112","00:38","38.6","8.9","66.0","8.9","5.3"
"15/01/2023","13:50","15/01/2023","14:26","Pebble Ave 19,3975 Melbourne,Australia","-38.07713916666667,145.2553863888889","South Gippsland Hwy 4440,3984 Caldermeade,Australia","-38.240811666666666,145.5306725","00:36","35.6","1.7","63.0","1.7","30.8"
"14/01/2023","17:35","14/01/2023","18:03","Pebble Ave 21,3975 Melbourne,Australia","-38.077334444444446,145.25531777777778","Pebble Ave 19,3975 Melbourne,Australia","-38.07719111111111,145.2553836111111","00:28","19.2","2.7","43.0","2.7","14.2"
"13/01/2023","15:15","13/01/2023","15:32","Riverend Rd 65,3175 Melbourne,Australia","-38.050267777777776,145.1491025","Pebble Ave 19,3975 Melbourne,Australia","-38.07718916666666,145.25538694444444","00:17","13.7","1.5","49.0","1.5","11.4"
"13/01/2023","14:47","13/01/2023","15:08","Pebble Ave 19,3975 Melbourne,Australia","-38.077196111111114,145.25543083333332","Riverend Rd 65,3175 Melbourne,Australia","-38.050264722222224,145.1491125","00:21","14.4","4.3","44.0","4.3","7.2"
"13/01/2023","08:12","13/01/2023","08:26","Riverend Rd 65,3175 Melbourne,Australia","-38.05031777777778,145.14908583333334","Pebble Ave 21,3975 Melbourne,Australia","-38.077196944444445,145.255355","00:14","13.7","5.1","60.0","5.1","7.2"
"13/01/2023","07:49","13/01/2023","08:08","Pebble Ave 19,3975 Melbourne,Australia","-38.07715611111111,145.25535861111112","Riverend Rd 65,3175 Melbourne,Australia","-38.0502625,145.14907944444445","00:19","14.4","2.9","49.0","2.9","10.0"
"12/01/2023","08:24","12/01/2023","08:39","Riverend Rd 65,3175 Melbourne,Australia","-38.050270833333336,145.14899694444443","Pebble Ave 19,3975 Melbourne,Australia","-38.07718833333333,145.25537027777779","00:15","13.7","4.2","61.0","4.2","8.0"
"12/01/2023","08:00","12/01/2023","08:22","Pebble Ave 19,3975 Melbourne,Australia","-38.07716777777778,145.25546972222222","Riverend Rd 65,3175 Melbourne,Australia","-38.05027138888889,145.14899527777777","00:22","14.4","2.4","43.0","2.4","11.1"
"11/01/2023","16:44","11/01/2023","17:01","Riverend Rd 65,3175 Melbourne,Australia","-38.0502675,145.14902111111113","Pebble Ave 21,3975 Melbourne,Australia","-38.07720444444445,145.25535555555555","00:17","13.7","1.6","50.0","1.6","12.1"
"11/01/2023","16:19","11/01/2023","16:38","Pebble Ave 19,3975 Melbourne,Australia","-38.07716333333333,145.2553675","Riverend Rd 65,3175 Melbourne,Australia","-38.05027583333333,145.1490175","00:19","14.4","4.1","49.0","4.1","9.7"
"11/01/2023","08:17","11/01/2023","08:33","Riverend Rd 65,3175 Melbourne,Australia","-38.05027111111111,145.14906055555556","Pebble Ave 21,3975 Melbourne,Australia","-38.0772075,145.2553475","00:16","13.7","4.4","54.0","4.4","8.2"
"11/01/2023","07:53","11/01/2023","08:14","Whisper St 27,3975 Melbourne,Australia","-38.07723166666667,145.2550461111111","Riverend Rd 65,3175 Melbourne,Australia","-38.050266944444445,145.14906416666668","00:21","16.5","1.6","48.0","1.6","13.5"
"10/01/2023","15:25","10/01/2023","15:42","Riverend Rd 65,3175 Melbourne,Australia","-38.05028027777778,145.14909166666666","Pebble Ave 21,3975 Melbourne,Australia","-38.07719138888889,145.2553613888889","00:17","13.7","2.8","52.0","2.8","10.1"
"10/01/2023","15:01","10/01/2023","15:20","Pebble Ave 26,3975 Melbourne,Australia","-38.07754055555556,145.25575388888888","Riverend Rd 65,3175 Melbourne,Australia","-38.05027027777778,145.14909","00:19","14.4","3.3","48.0","3.3","9.4"
"10/01/2023","08:30","10/01/2023","08:46","Riverend Rd 65,3175 Melbourne,Australia","-38.050267222222224,145.14902166666667","Pebble Ave 21,3975 Melbourne,Australia","-38.07718777777778,145.25535027777778","00:16","13.6","3.8","53.0","3.8","9.0"
"10/01/2023","08:06","10/01/2023","08:26","Egan Ln 9,3975 Melbourne,Australia","-38.076862222222225,145.25572416666665","Riverend Rd 65,3175 Melbourne,Australia","-38.050269444444446,145.14902083333334","00:20","16.5","3.9","53.0","3.9","10.0"
"09/01/2023","15:25","09/01/2023","15:40","Riverend Rd 65,3175 Melbourne,Australia","-38.05026222222222,145.14910277777778","Pebble Ave 19,3975 Melbourne,Australia","-38.07719361111111,145.25537583333335","00:15","13.7","3.1","59.0","3.1","10.0"
"09/01/2023","15:02","09/01/2023","15:25","Pebble Ave 21,3975 Melbourne,Australia","-38.07725416666667,145.25546305555557","Riverend Rd 65,3175 Melbourne,Australia","-38.050261666666664,145.1491025","00:23","14.4","4.1","41.0","4.1","9.3"
"08/01/2023","17:18","08/01/2023","17:22","Brookwater Pde 19,3975 Melbourne,Australia","-38.077735,145.249215","Pebble Ave 21,3975 Melbourne,Australia","-38.07718777777778,145.25536277777778","00:04","1.0","0.0","19.0","0.0","1.0"
"08/01/2023","12:25","08/01/2023","12:39","Berwick-Cranbourne Rd 680,3978 Melbourne,Australia","-38.09222277777778,145.33292333333333","Pebble Ave 21,3975 Melbourne,Australia","-38.07720611111111,145.25534666666667","00:14","8.3","4.7","41.0","4.7","5.6"
"08/01/2023","12:06","08/01/2023","12:16","Thompsons Rd 1260,3977 Melbourne,Australia","-38.08369555555556,145.2781911111111","Berwick-Cranbourne Rd 680,3978 Melbourne,Australia","-38.0922075,145.3329125","00:10","5.3","4.9","36.0","4.9","3.8"
"08/01/2023","11:51","08/01/2023","11:58","Pebble Ave 21,3975 Melbourne,Australia","-38.077176944444446,145.25548027777776","Thompsons Rd 1260,3977 Melbourne,Australia","-38.08369111111111,145.27822138888888","00:07","3.0","6.7","29.0","6.7","1.8"
"06/01/2023","18:24","06/01/2023","18:49","Pebble Ave 15,3975 Melbourne,Australia","-38.07685277777778,145.25544583333334","Pebble Ave 21,3975 Melbourne,Australia","-38.0772,145.25538055555555","00:25","22.1","5.4","55.0","5.4","11.8"
"05/01/2023","17:52","05/01/2023","18:23","Pebble Ave 19,3975 Melbourne,Australia","-38.07717666666667,145.25540138888888","Pebble Ave 23,3975 Melbourne,Australia","-38.07743222222222,145.2553511111111","00:31","31.7","4.0","63.0","4.0","19.5"
"03/01/2023","19:45","03/01/2023","20:04","Thompsons Rd 1270,3977 Melbourne,Australia","-38.08347555555556,145.28041027777778","Pebble Ave 19,3975 Melbourne,Australia","-38.07718277777778,145.2554152777778","00:19","15.1","2.0","51.0","2.0","13.0"
"03/01/2023","19:26","03/01/2023","19:33","Brookwater Pde 19,3975 Melbourne,Australia","-38.077655,145.24915305555555","Thompsons Rd 1270,3977 Melbourne,Australia","-38.08347,145.28041277777777","00:07","3.6","5.9","33.0","5.9","2.1"
"15/12/2022","18:33","15/12/2022","19:05","Brian Ct 16,3930 Melbourne,Australia","-38.19701277777778,145.09698555555556","Society Ave 2,3975 Melbourne,Australia","-38.07690111111111,145.25056","00:32","24.6","3.0","51.0","3.0","17.0"
"15/12/2022","17:56","15/12/2022","18:29","Pebble Ave 21,3975 Melbourne,Australia","-38.07720194444445,145.25537916666667","Brian Ct 16,3930 Melbourne,Australia","-38.19702222222222,145.09697805555555","00:33","27.6","4.6","54.0","4.6","17.9"
"15/12/2022","17:36","15/12/2022","17:41","Thompsons Rd 1125T,3975 Melbourne,Australia","-38.0802325,145.2636288888889","Pebble Ave 21,3975 Melbourne,Australia","-38.07720555555556,145.25538083333333","00:05","1.3","5.8","21.0","5.8","1.0"
"15/12/2022","14:40","15/12/2022","14:43","Pebble Ave 19,3975 Melbourne,Australia","-38.077130833333335,145.25550611111112","Thompsons Rd 1125T,3975 Melbourne,Australia","-38.08022583333333,145.26363194444446","00:03","1.3","7.0","34.0","7.0","0.6"
"14/12/2022","17:11","14/12/2022","17:14","Thompsons Rd 1125A,3975 Melbourne,Australia","-38.078225277777776,145.2625811111111","Pebble Ave 19,3975 Melbourne,Australia","-38.07718194444445,145.2553738888889","00:03","1.2","0.0","24.0","0.0","1.2"
"14/12/2022","05:58","14/12/2022","06:01","Pebble Ave 21,3975 Melbourne,Australia","-38.07725138888889,145.2553163888889","Endeavour Dr 81,3977 Melbourne,Australia","-38.078203888888886,145.26263277777778","00:03","1.2","0.0","23.0","0.0","1.2"
"13/12/2022","19:34","13/12/2022","19:43","Cranbourne Dr 67,3977 Melbourne,Australia","-38.108945,145.2825811111111","Pebble Ave 21,3975 Melbourne,Australia","-38.077199444444446,145.25536","00:09","6.4","4.6","41.0","4.6","4.2"
"13/12/2022","19:13","13/12/2022","19:21","Aleppo Pl 2,3977 Melbourne,Australia","-38.085051944444444,145.29141083333334","Cranbourne Dr 67,3977 Melbourne,Australia","-38.108938888888886,145.28257583333334","00:08","4.5","7.0","36.0","7.0","2.6"
"13/12/2022","18:59","13/12/2022","19:06","Pebble Ave 20,3975 Melbourne,Australia","-38.077195,145.25555694444444","Aleppo Pl 2,3977 Melbourne,Australia","-38.085076944444445,145.29137222222224","00:07","3.9","6.6","35.0","6.6","2.2"
"11/12/2022","15:09","11/12/2022","15:40","Pebble Ave 19,3975 Melbourne,Australia","-38.077086666666666,145.2553388888889","Brookwater Pde 19,3975 Melbourne,Australia","-38.077709722222224,145.24914777777778","00:31","28.5","5.2","58.0","5.2","15.5"
"09/12/2022","19:33","09/12/2022","19:49","Boundary Rd 2,3201 Melbourne,Australia","-38.085882222222224,145.18133555555556","Pebble Ave 19,3975 Melbourne,Australia","-38.07718111111111,145.25535555555555","00:16","11.2","5.1","44.0","5.1","7.1"
"09/12/2022","19:20","09/12/2022","19:27","Boundary Rd 2,3201 Melbourne,Australia","-38.085882222222224,145.18127583333333","Boundary Rd 2,3201 Melbourne,Australia","-38.08587694444444,145.18133944444443","00:07","4.6","0.6","43.0","0.6","4.5"
"09/12/2022","19:05","09/12/2022","19:15","Pebble Ave 19,3975 Melbourne,Australia","-38.07712194444444,145.25548916666668","Boundary Rd 2,3201 Melbourne,Australia","-38.08586416666667,145.18128583333333","00:10","7.6","6.6","47.0","6.6","4.4"
"08/12/2022","17:52","08/12/2022","17:59","Brookwater Pde 19,3975 Melbourne,Australia","-38.07762722222222,145.2491611111111","Pebble Ave 19,3975 Melbourne,Australia","-38.07716861111111,145.2553597222222","00:07","3.4","2.6","31.0","2.6","3.1"
"04/12/2022","17:31","04/12/2022","17:54","Ryehill Dr 10,3978 Melbourne,Australia","-38.11881,145.33633083333334","Pebble Ave 21,3975 Melbourne,Australia","-38.07719916666667,145.255365","00:23","10.9","3.6","32.0","3.6","8.0"
"04/12/2022","17:01","04/12/2022","17:17","Pebble Ave 19,3975 Melbourne,Australia","-38.0771875,145.25538916666667","Ryehill Dr 10,3978 Melbourne,Australia","-38.118830555555554,145.33631888888888","00:16","10.9","3.0","44.0","3.0","8.8"
"03/12/2022","19:34","03/12/2022","19:43","South Gippsland Hwy 350-398,3977 Melbourne,Australia","-38.08661194444444,145.2794763888889","Thompsons Rd 1000,3977 Melbourne,Australia","-38.078109166666664,145.2499463888889","00:09","3.2","5.7","23.0","5.7","1.9"
"03/12/2022","19:25","03/12/2022","19:31","Pebble Ave 19,3975 Melbourne,Australia","-38.07715638888889,145.25540972222223","South Gippsland Hwy 350-398,3977 Melbourne,Australia","-38.08661027777778,145.27948416666666","00:06","3.2","5.3","38.0","5.3","1.9"
"03/12/2022","10:47","03/12/2022","10:54","Thompsons Rd 1250,3977 Melbourne,Australia","-38.08395361111111,145.27812722222222","Pebble Ave 21,3975 Melbourne,Australia","-38.07719861111111,145.25540666666666","00:07","2.9","3.5","27.0","3.5","1.7"
"03/12/2022","10:22","03/12/2022","10:29","Pebble Ave 21,3975 Melbourne,Australia","-38.077198055555556,145.25537305555557","Lesdon Ave 2,3977 Melbourne,Australia","-38.087292777777776,145.27944194444444","00:07","3.2","3.7","33.0","3.7","2.4"
